Model,Accuracy,WIN Recall,WIN Precision,LOSS Recall,LOSS Precision,Backtest Win Rate,Backtest Trades
XGBoost_Balanced,0.9614835948644793,0.9666011787819253,0.9800796812749004,0.9479166666666666,0.914572864321608,0.9834710743801653,484
RandomForest,0.9657631954350927,0.9882121807465619,0.9654510556621881,0.90625,0.9666666666666667,0.9817813765182186,494
XGBoost_SMOTE,0.9671897289586305,0.9803536345776032,0.974609375,0.9322916666666666,0.9470899470899471,0.9800796812749004,502
RandomForest_Balanced,0.9657631954350927,0.9823182711198428,0.970873786407767,0.921875,0.9516129032258065,0.9796334012219959,491
XGBoost,0.9757489300998573,0.9901768172888016,0.9767441860465116,0.9375,0.972972972972973,0.9783889980353635,509
